ID,name,duration,address,ticket,food,latitude,longitude
D2839,Parque das Ruínas,Part,"Rua Murtinho Nobre, 169 - Santa Teresa",0,no,-22.91749,-43.18242
N2675,Cristo Redentor,Part,"Estrada do Corcovado, s/n - Humaitá",85,no,-22.95181,-43.2126
Z4302,Bondinho Pão de Açúcar,Part,"Av. Pasteur, 520 - Urca",85,no,-22.95467,-43.16703
D5389,Escadaria Selarón,Part,R. Manuel Carneiro - Lapa,0,no,-22.9155,-43.17958
I9063,Planetário ,Part,"R. Vice-Governador Rúbens Berardo, 100 - Gávea,",20,no,-22.97802,-43.22989
S7609,AquaRio,Part,Praça Muhammad Ali - Gamboa,100,no,-22.89325,-43.19157
H4365,Roda Gigante,Part,"Av. Rodrigues Alves, 455 - Santo Cristo",80,no,-22.89674,-43.20498
V3992,Bondinho de Santa Teresa,Part ,"R. Lélio Gama, s/n - Centro",20,no,-22.90946,-43.17852
M5891,Museu da República,Part,"R. do Catete, 153 - Catete",0,no,-22.92585,-43.17656
V8939,Museu de Arte do Rio,Part,"Praça Mauá, 5 - Saúde",20,no,-22.89692,-43.18187
S5079,BioParque,Whole,Parque da Quinta da Boa Vista S/N - São Cristóvão,65,yes,-22.90386,-43.21576
P7245,Museu da Marinha,Part,"Av. Alfred Agache, S/N - Centro",0,no,-22.9049,-43.17012
O7271,Jardim Botânico,Whole,"R. Jardim Botânico, 1008 - Jardim Botânico",18,no,-22.97079,-43.22304
V8407,Parque Lage,Part,"R. Jardim Botânico, 414 - Jardim Botânico",0,no,-22.9613,-43.21317
Y5404,Museu do Amanhã,Part,"Praça Mauá, 1 - Centro",40,no,-23.93331,-46.32847
J4085,Centro Cultural Banco do Brasil,Part,"R. Primeiro de Março, 66 - Centro",0,no,-22.90113,-43.17658
A4460,Forte de Copacabana,Part,"Praça Coronel Eugênio Franco, 1, Posto 6 - Copacabana",0,no,-22.98788,-43.19045
T7126,Cadeg,Whole,"R. Capitão Félix, 110 - Benfica",0,yes,-22.89467,-43.23672
